,n_cluster2,n_cluster3,n_cluster4,n_cluster5,n_cluster6,n_cluster7,n_cluster8,n_cluster9,n_cluster10,n_cluster11,n_cluster12,n_cluster13,n_cluster14,n_cluster15,n_cluster16,n_cluster17,n_cluster18,n_cluster19,n_cluster20
3214,1,0,2,1,1,6,6,6,0,2,2,5,7,4,4,15,3,17,0
3215,1,0,2,1,5,0,3,1,0,8,5,2,13,8,0,1,0,1,15
3216,0,1,3,4,0,5,5,8,2,0,7,3,4,6,3,5,4,13,1
3217,1,0,2,2,2,3,2,3,3,2,2,5,7,4,4,15,3,5,0
3218,0,1,3,3,4,1,4,2,6,7,4,4,5,1,1,6,13,6,6
3219,1,0,2,1,1,6,6,6,0,6,1,10,1,12,6,9,9,14,10
3220,0,1,3,4,0,2,5,8,2,0,7,3,4,6,3,5,4,13,1
3221,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
3222,0,1,3,3,4,1,4,2,6,7,6,4,5,1,1,6,13,6,6
3223,0,2,0,3,4,1,4,2,1,3,6,8,3,11,13,6,6,3,6
3224,0,1,1,3,4,1,4,2,6,7,6,4,5,1,1,6,13,6,6
3225,1,0,2,1,1,6,6,6,0,6,1,10,1,12,6,9,9,14,16
3226,1,0,2,1,1,6,6,6,0,6,1,10,1,12,6,9,9,14,16
3227,0,1,1,0,3,4,7,5,6,7,4,7,0,9,2,0,1,2,18
3228,0,2,0,3,4,1,4,2,1,3,11,8,3,11,13,3,6,3,2
3229,1,2,0,2,2,3,2,3,3,2,2,5,7,4,4,15,3,15,0
3230,1,2,0,2,2,3,2,3,1,3,11,8,3,11,13,3,6,3,2
3231,1,2,0,2,2,3,2,3,1,3,11,8,3,11,13,7,6,3,14
3232,1,2,0,3,5,0,3,1,4,8,8,11,3,7,5,7,14,15,14
3233,1,0,2,1,5,0,3,1,4,8,5,2,13,8,7,1,0,1,15
3234,1,2,0,2,2,3,2,3,3,1,11,1,11,2,11,11,5,16,7
3235,0,2,0,3,4,1,4,2,1,3,11,8,3,11,13,3,6,3,2
3236,1,2,0,2,2,3,2,3,3,2,2,5,7,4,4,15,3,5,0
3237,0,1,1,0,3,2,5,8,2,0,7,3,4,6,3,5,4,13,1
3238,1,0,2,1,1,6,6,6,0,6,5,2,13,0,0,1,0,1,15
3239,1,0,2,2,1,6,6,6,3,2,2,5,7,4,4,15,3,5,0
3240,1,2,0,2,2,3,2,3,1,1,11,8,3,11,13,7,6,3,14
3241,1,0,2,1,5,0,3,1,4,8,5,2,13,0,0,1,0,1,15
3242,1,2,0,2,2,3,2,3,1,1,11,1,11,2,11,3,5,16,2
3243,1,0,2,1,5,0,3,1,4,8,5,2,13,8,7,1,0,1,15
3244,1,2,0,2,2,3,2,3,3,1,2,1,11,2,11,11,5,5,7
3245,1,2,0,2,2,3,2,3,3,1,11,8,11,2,13,7,6,15,14
3246,1,0,2,1,1,6,6,6,0,6,1,10,1,12,6,9,9,14,16
3247,0,1,3,4,0,5,1,0,9,7,4,7,10,9,8,10,15,2,17
3248,1,0,2,1,1,6,6,6,0,6,1,10,1,12,6,9,9,14,16
3249,1,0,2,1,1,6,6,6,0,6,1,10,13,0,0,13,12,17,10
3250,0,1,3,3,4,1,4,2,6,7,6,4,5,1,1,6,13,6,6
3251,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
3252,1,2,0,2,2,3,2,3,3,2,2,5,7,4,4,15,3,5,0
3253,0,1,3,4,0,5,5,8,2,0,7,3,4,6,3,5,4,13,1
3254,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
3255,1,0,2,1,5,0,3,1,4,8,8,11,2,7,7,4,14,8,3
3256,0,1,3,4,0,5,5,8,2,0,7,3,4,6,3,5,4,13,1
3257,1,0,2,1,5,0,3,1,4,8,5,2,13,0,0,1,0,1,15
3258,0,1,3,4,0,5,5,8,2,0,7,3,4,6,3,5,4,13,1
3259,1,0,2,1,5,0,3,1,4,8,5,2,13,8,7,1,0,1,15
3260,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
3261,0,2,0,3,4,1,4,2,1,3,11,8,3,11,13,3,6,3,2
3262,0,1,3,4,0,5,5,8,2,0,7,3,4,6,3,5,4,13,1
3263,0,1,3,4,0,5,5,8,2,0,7,3,4,6,3,5,4,13,1
3264,0,1,3,3,4,1,4,2,6,3,6,4,5,1,1,6,13,6,6
3265,0,1,1,0,3,4,7,5,5,5,10,0,0,3,12,2,2,7,5
3266,1,0,2,1,5,0,3,1,4,8,5,2,9,14,14,16,16,0,19
3267,1,0,2,1,5,0,3,1,4,8,5,2,9,14,14,16,16,0,19
3268,0,0,1,0,3,2,0,4,7,4,3,6,12,13,9,8,7,11,8
3269,0,1,3,4,0,5,5,8,2,0,7,3,4,6,3,5,4,13,1
3270,0,1,3,4,0,5,5,8,2,0,7,3,4,9,8,5,15,13,17
3271,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
3272,1,0,2,1,5,0,3,6,0,6,5,2,13,0,0,13,12,1,15
3273,0,1,1,0,3,2,0,4,7,4,3,6,12,13,12,8,2,7,5
3274,1,2,0,3,5,0,3,1,4,8,8,11,9,14,14,16,16,0,19
3275,1,0,2,1,1,6,6,6,0,6,1,10,1,12,6,9,9,17,10
3276,1,2,3,3,5,0,3,1,4,8,8,11,2,7,5,4,14,8,14
3277,0,1,1,0,3,2,0,4,7,4,3,6,12,13,9,8,7,11,8
3278,1,0,2,1,5,0,3,1,3,2,5,5,7,4,4,15,3,15,0
3279,0,1,3,4,0,5,5,8,2,0,7,3,4,6,3,5,4,13,1
3280,0,1,3,4,0,5,5,8,2,0,7,3,4,6,3,5,4,13,1
3281,1,0,2,1,1,6,6,6,0,6,5,2,13,8,7,1,0,17,10
3282,0,1,3,4,0,5,5,8,2,0,7,3,4,6,3,5,4,13,1
3283,1,2,0,2,2,3,2,3,3,2,2,5,7,4,4,15,3,15,0
3284,0,2,0,3,4,1,4,2,1,3,6,8,3,11,13,3,6,3,2
3285,0,1,1,0,3,4,7,5,5,5,4,7,0,3,2,0,1,2,18
